iter	Passed	Remaining
257	995	3047
258	999	3043
259	1003	3040
260	1006	3035
261	1010	3030
262	1013	3026
263	1017	3022
264	1021	3017
265	1024	3013
266	1028	3008
267	1032	3005
268	1036	3001
269	1040	2998
270	1044	2994
271	1048	2990
272	1052	2987
273	1055	2982
274	1059	2979
275	1064	2976
276	1067	2971
277	1071	2967
278	1075	2963
279	1079	2959
280	1082	2955
281	1086	2950
282	1090	2946
283	1094	2943
284	1098	2939
285	1102	2936
286	1106	2932
287	1110	2930
288	1114	2926
289	1118	2924
290	1122	2920
291	1126	2917
292	1130	2914
293	1134	2910
294	1138	2906
295	1143	2904
296	1147	2901
297	1151	2897
298	1155	2893
299	1159	2891
300	1163	2887
301	1167	2883
302	1171	2879
303	1175	2877
304	1179	2873
305	1183	2869
306	1187	2866
307	1191	2862
308	1195	2859
309	1199	2854
310	1203	2851
311	1207	2847
312	1211	2844
313	1215	2841
314	1219	2838
315	1223	2834
316	1227	2831
317	1231	2827
318	1236	2825
319	1241	2824
320	1246	2823
321	1252	2822
322	1256	2820
323	1261	2818
324	1266	2817
325	1271	2815
326	1275	2812
327	1280	2810
328	1285	2809
329	1290	2807
330	1293	2802
331	1298	2801
332	1303	2798
333	1307	2795
334	1312	2794
335	1317	2792
336	1322	2789
337	1326	2785
338	1330	2783
339	1335	2780
340	1339	2776
341	1343	2773
342	1347	2769
343	1351	2765
344	1355	2762
345	1359	2758
346	1363	2754
347	1367	2751
348	1371	2747
349	1375	2744
350	1379	2740
351	1383	2736
352	1388	2732
353	1392	2729
354	1396	2725
355	1400	2721
356	1404	2717
357	1408	2715
358	1412	2711
359	1416	2707
360	1420	2703
361	1424	2699
362	1428	2696
363	1432	2691
364	1436	2688
365	1441	2685
366	1444	2681
367	1448	2676
368	1452	2673
369	1456	2669
370	1460	2665
371	1464	2660
372	1468	2657
373	1472	2653
374	1476	2649
375	1480	2645
376	1484	2641
377	1488	2637
378	1491	2633
379	1495	2629
380	1499	2625
381	1503	2621
382	1507	2617
383	1511	2613
384	1515	2609
385	1519	2605
386	1523	2601
387	1526	2597
388	1530	2593
389	1534	2589
390	1538	2585
391	1542	2581
392	1546	2577
393	1550	2573
394	1554	2570
395	1558	2566
396	1562	2561
397	1566	2557
398	1569	2553
399	1573	2549
400	1577	2545
401	1581	2541
402	1585	2537
403	1589	2533
404	1592	2528
405	1596	2525
406	1600	2520
407	1604	2516
408	1608	2512
409	1611	2508
410	1615	2504
411	1619	2500
412	1623	2496
413	1627	2492
414	1631	2487
415	1634	2482
416	1637	2478
417	1641	2473
418	1645	2469
419	1648	2464
420	1651	2460
421	1655	2456
422	1659	2452
423	1663	2448
424	1666	2443
425	1670	2439
426	1674	2434
427	1677	2430
428	1681	2425
429	1685	2421
