area,condo_complex,bathrooms,new_address,legal_status,furniture_state,frontage,floors,bedrooms
494.0,0,6.0,"Phú Mỹ, Bà Rịa Vũng Tàu",Have certificate,Full,8.0,1.0,6.0
80.0,0,1.0,"Thủ Đức, Hồ Chí Minh",Have certificate,,6.9,,2.0
150.0,0,7.0,"Thuận An, Bình Dương",Have certificate,Basic,5.5,,7.0
32.0,0,,"Hai Bà Trưng, Hà Nội",Have certificate,,,6.0,3.0
100.0,0,,"Thanh Khê, Đà Nẵng",,,,,
32.0,0,,"Hà Đông, Hà Nội",,,,,
60.0,0,9.0,"Cầu Giấy, Hà Nội",Have certificate,Full,3.8,5.0,9.0
60.0,0,3.0,"Quận 10, Hồ Chí Minh",Have certificate,Basic,4.0,3.0,3.0
45.0,0,5.0,"Hoài Đức, Hà Nội",Have certificate,,3.5,6.0,4.0
103.0,0,2.0,"Biên Hòa, Đồng Nai",Have certificate,,,1.0,3.0
40.0,0,,"Bình Thạnh, Hồ Chí Minh",Have certificate,,4.0,3.0,
90.0,0,2.0,"Cẩm Lệ, Đà Nẵng",Have certificate,Full,5.0,1.0,2.0
43.5,0,,"Hai Bà Trưng, Hà Nội",Have certificate,Full,,,
28.0,0,3.0,"Nha Trang, Khánh Hòa",Have certificate,Full,4.0,3.0,2.0
73.0,0,,"Nha Trang, Khánh Hòa",,,,2.0,3.0
60.0,0,1.0,"Tân Phú, Hồ Chí Minh",Have certificate,Full,3.5,3.0,1.0
80.0,1,4.0,"Nhà Bè, Hồ Chí Minh",Have certificate,Full,5.6,3.0,3.0
72.0,0,3.0,"Quận 7, Hồ Chí Minh",Have certificate,Full,6.0,2.0,3.0
48.0,0,3.0,"Gò Vấp, Hồ Chí Minh",Have certificate,Full,,2.0,3.0
77.0,1,,"Hà Đông, Hà Nội",Have certificate,Full,10.0,,
86.0,0,,"Ngũ Hành Sơn, Đà Nẵng",Have certificate,,4.5,2.0,3.0
70.0,0,,"Thanh Trì, Hà Nội",Have certificate,,,6.0,5.0
83.0,0,4.0,"Tân Bình, Hồ Chí Minh",Have certificate,Full,,4.0,4.0
80.0,0,2.0,"Ngũ Hành Sơn, Đà Nẵng",Have certificate,,5.0,2.0,3.0
123.0,0,,"Quận 9, Hồ Chí Minh",Have certificate,Basic,,,
100.0,1,,"Tân Uyên, Bình Dương",,,5.0,,
173.2,0,3.0,"Ngũ Hành Sơn, Đà Nẵng",Have certificate,Basic,7.5,3.0,4.0
73.1,0,1.0,"Thủ Đức, Hồ Chí Minh",Have certificate,,4.5,1.0,2.0
40.27,0,4.0,"Cầu Giấy, Hà Nội",Have certificate,Basic,4.0,5.0,6.0
42.0,0,,"Tân Bình, Hồ Chí Minh",Have certificate,,3.9,,
38.0,0,4.0,"Hoàng Mai, Hà Nội",Have certificate,Full,4.4,4.0,3.0
39.0,0,6.0,"Đống Đa, Hà Nội",Have certificate,Full,4.0,5.0,6.0
80.0,0,2.0,"Cẩm Lệ, Đà Nẵng",Have certificate,Full,4.0,2.0,3.0
60.0,1,3.0,"Nha Trang, Khánh Hòa",Have certificate,,6.0,3.0,4.0
65.0,1,,"Văn Giang, Hưng Yên",,,5.0,5.0,6.0
40.0,0,4.0,"Long Biên, Hà Nội",Have certificate,,3.8,5.0,4.0
53.2,0,,"Lê Chân, Hải Phòng",,,,,
48.0,0,3.0,"Hà Đông, Hà Nội",Have certificate,Full,,4.0,4.0
204.0,0,,"Rạch Giá, Kiên Giang",Have certificate,,5.0,,
72.0,0,3.0,"Tân Phú, Hồ Chí Minh",Have certificate,Basic,4.3,3.0,3.0
56.0,0,3.0,"Hà Đông, Hà Nội",Have certificate,Full,5.8,4.0,3.0
15.0,0,,"Tân Bình, Hồ Chí Minh",Have certificate,Full,3.0,3.0,2.0
39.0,0,4.0,"Đống Đa, Hà Nội",Have certificate,Full,4.0,5.0,6.0
36.0,0,4.0,"Hai Bà Trưng, Hà Nội",Have certificate,Full,3.6,4.0,3.0
21.0,0,1.0,"Bình Thạnh, Hồ Chí Minh",Have certificate,Basic,,2.0,2.0
31.0,0,4.0,"Hoàng Mai, Hà Nội",Have certificate,Full,4.8,5.0,3.0
150.0,0,4.0,"Thủ Đức, Hồ Chí Minh",Have certificate,,6.0,1.0,5.0
70.0,1,,"Văn Giang, Hưng Yên",,,,4.0,
30.0,0,3.0,"Hoàng Mai, Hà Nội",Have certificate,Full,4.2,5.0,3.0
75.0,1,4.0,"Từ Sơn, Bắc Ninh",Sale contract,,5.0,4.0,6.0
61.0,0,,"Gò Vấp, Hồ Chí Minh",Have certificate,Full,4.0,2.0,
141.6,0,,"Củ Chi, Hồ Chí Minh",Have certificate,,5.0,,
39.0,0,,"Hai Bà Trưng, Hà Nội",Have certificate,Full,,5.0,
60.0,0,,"Long Biên, Hà Nội",,,5.2,,
27.0,0,5.0,"Thanh Xuân, Hà Nội",Have certificate,,,6.0,4.0
70.0,0,4.0,"Nam Từ Liêm, Hà Nội",,,5.5,5.0,6.0
60.0,0,4.0,"Quận 2, Hồ Chí Minh",,,,4.0,5.0
100.0,1,5.0,"Duy Xuyên, Quảng Nam",Have certificate,,5.0,,5.0
95.0,0,1.0,"Thủ Đức, Hồ Chí Minh",,,5.8,1.0,2.0
76.0,0,4.0,"Bình Tân, Hồ Chí Minh",Have certificate,Full,4.0,3.0,3.0
32.0,0,3.0,"Đống Đa, Hà Nội",,,,5.0,3.0
42.0,0,,"Hà Đông, Hà Nội",Have certificate,,,2.0,
81.0,0,5.0,"Bình Tân, Hồ Chí Minh",,,4.5,4.0,4.0
70.3,0,2.0,"Tân Phú, Hồ Chí Minh",Have certificate,Full,3.7,3.0,5.0
107.0,0,1.0,"Thuận An, Bình Dương",Have certificate,Basic,6.0,,2.0
48.0,0,2.0,"Bình Tân, Hồ Chí Minh",Have certificate,,4.0,,2.0
40.0,0,3.0,"Quận 4, Hồ Chí Minh",Have certificate,,,5.0,3.0
100.0,1,4.0,"Quận 9, Hồ Chí Minh",Have certificate,,,4.0,4.0
35.0,0,3.0,"Bắc Từ Liêm, Hà Nội",Have certificate,,3.5,5.0,3.0
100.0,0,,"Gò Vấp, Hồ Chí Minh",Have certificate,,,3.0,
40.0,0,4.0,"Tây Hồ, Hà Nội",Have certificate,Full,3.9,5.0,6.0
93.0,0,3.0,"Cẩm Lệ, Đà Nẵng",Have certificate,Full,5.0,3.0,3.0
59.0,0,2.0,"Tân Phú, Hồ Chí Minh",Have certificate,Full,,2.0,2.0
114.6,0,5.0,"Thủ Đức, Hồ Chí Minh",Have certificate,,,4.0,4.0
71.0,0,1.0,"Hoài Đức, Hà Nội",Have certificate,Basic,4.0,1.0,1.0
73.0,0,5.0,"Đống Đa, Hà Nội",Have certificate,Full,4.0,4.0,6.0
65.0,0,5.0,"Bình Tân, Hồ Chí Minh",Have certificate,,4.0,4.0,5.0
159.0,0,2.0,"Cẩm Lệ, Đà Nẵng",Have certificate,,8.2,1.0,2.0
35.0,0,3.0,"Thanh Xuân, Hà Nội",Have certificate,Full,4.5,5.0,3.0
68.0,0,1.0,"Đất Đỏ, Bà Rịa Vũng Tàu",Have certificate,Full,5.0,,1.0
80.0,0,,"Nhà Bè, Hồ Chí Minh",,,,4.0,5.0
85.0,0,3.0,"Quận 10, Hồ Chí Minh",Have certificate,Full,,2.0,2.0
28.0,0,3.0,"Đống Đa, Hà Nội",Have certificate,Full,5.0,4.0,3.0
64.0,0,,"Quận 8, Hồ Chí Minh",Have certificate,Basic,,3.0,4.0
205.3,0,1.0,"Diên Khánh, Khánh Hòa",Have certificate,Basic,10.0,,1.0
48.0,0,,"Quận 6, Hồ Chí Minh",Have certificate,,4.0,,
250.0,0,2.0,"Buôn Ma Thuột, Đắk Lắk",Have certificate,Full,,,3.0
64.0,0,4.0,"Tân Phú, Hồ Chí Minh",Have certificate,Basic,,4.0,4.0
59.0,0,,"Quận 12, Hồ Chí Minh",Have certificate,,5.0,4.0,
45.0,0,5.0,"Thanh Trì, Hà Nội",Have certificate,,,5.0,4.0
75.0,0,4.0,"Gò Vấp, Hồ Chí Minh",Have certificate,Full,,2.0,3.0
91.0,1,,"Huyện Văn Giang, Hưng Yên",Sale contract,,6.5,,
63.9,0,1.0,"Dĩ An, Bình Dương",Have certificate,Basic,4.8,1.0,2.0
44.0,0,2.0,"Tân Phú, Hồ Chí Minh",Have certificate,Full,4.0,3.0,2.0
110.0,0,,"Ngũ Hành Sơn, Đà Nẵng",Have certificate,Basic,7.0,,3.0
70.0,0,,"Long Biên, Hà Nội",Have certificate,,,1.0,
31.0,0,2.0,"Thanh Xuân, Hà Nội",Have certificate,Full,,4.0,2.0
65.2,0,3.0,"An Dương, Hải Phòng",Have certificate,Full,7.91,3.0,3.0
38.0,0,1.0,"Bình Thạnh, Hồ Chí Minh",Have certificate,,5.6,2.0,2.0
32.0,0,4.0,"Hoài Đức, Hà Nội",Have certificate,Basic,,5.0,4.0
100.0,0,2.0,"Biên Hòa, Đồng Nai",Have certificate,,5.0,1.0,3.0
51.0,0,1.0,"Hai Bà Trưng, Hà Nội",,,,1.0,2.0
75.0,1,,"Từ Sơn, Bắc Ninh",,,,4.0,
25.0,0,2.0,"Tân Bình, Hồ Chí Minh",Have certificate,,3.5,2.0,2.0
149.0,0,1.0,"Nha Trang, Khánh Hòa",Have certificate,Basic,7.6,1.0,2.0
126.0,1,4.0,"Huế, Thừa Thiên Huế",Have certificate,Basic,6.0,4.0,4.0
58.0,0,7.0,"Bình Thạnh, Hồ Chí Minh",Have certificate,Full,6.0,5.0,7.0
40.0,0,,"Thanh Xuân, Hà Nội",Have certificate,,,,
95.0,0,2.0,"Gò Vấp, Hồ Chí Minh",Have certificate,Full,,2.0,3.0
40.0,0,,"Hai Bà Trưng, Hà Nội",Have certificate,,,5.0,
100.0,1,5.0,"Từ Sơn, Bắc Ninh",Have certificate,,5.0,3.0,4.0
68.0,0,5.0,"Quận 12, Hồ Chí Minh",Have certificate,,4.0,4.0,4.0
97.5,1,4.0,"Biên Hòa, Đồng Nai",,,5.0,,4.0
42.0,0,2.0,"Nhà Bè, Hồ Chí Minh",,Full,,2.0,2.0
63.0,0,4.0,"Thủ Dầu Một, Bình Dương",Have certificate,Full,4.5,3.0,3.0
46.5,0,4.0,"Biên Hòa, Đồng Nai",Have certificate,Full,7.0,4.0,3.0
54.0,0,,"Nam Từ Liêm, Hà Nội",Have certificate,Full,,4.0,
54.0,0,3.0,"An Dương, Hải Phòng",Have certificate,Basic,,3.0,3.0
36.0,0,4.0,"Phú Nhuận, Hồ Chí Minh",Have certificate,Full,3.5,4.0,4.0
102.0,1,4.0,"Thủ Dầu Một, Bình Dương",,Full,8.0,2.0,4.0
35.0,0,3.0,"Gò Vấp, Hồ Chí Minh",Have certificate,,,3.0,3.0
120.0,1,3.0,"Phan Thiết, Bình Thuận",Sale contract,,6.0,2.0,3.0
33.0,0,4.0,"Hai Bà Trưng, Hà Nội",Have certificate,Full,,6.0,4.0
131.6,0,6.0,"Quận 9, Hồ Chí Minh",Have certificate,,6.0,1.0,7.0
40.0,0,3.0,"Tân Phú, Hồ Chí Minh",,,3.5,4.0,4.0
200.0,0,1.0,"Đơn Dương, Lâm Đồng",Have certificate,Basic,10.0,1.0,2.0
46.0,0,2.0,"Bình Thạnh, Hồ Chí Minh",Have certificate,Basic,,2.0,2.0
47.0,0,4.0,"Quận 4, Hồ Chí Minh",Have certificate,,6.15,3.0,5.0
39.0,0,,"Ba Đình, Hà Nội",Have certificate,,,5.0,4.0
20.0,0,4.0,"Hai Bà Trưng, Hà Nội",Have certificate,,3.8,3.0,4.0
36.0,0,,"Quận 10, Hồ Chí Minh",,,,,
35.0,0,3.0,"Nam Từ Liêm, Hà Nội",Have certificate,Full,,4.0,3.0
40.0,0,4.0,"Đống Đa, Hà Nội",Have certificate,Full,3.2,4.0,4.0
78.8,0,4.0,"Sơn Trà, Đà Nẵng",Have certificate,,4.5,3.0,4.0
