area,frontage,access_road,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,new_address,condo_complex
368.0,,,,,,,,,,6.3,"Thanh Thủy, Phú Thọ",1
88.0,,,,,4.0,,,,,6.6,"Yên Mỹ, Hưng Yên",1
156.0,,,,,2.0,,,Sale contract,,7.8,"Quận 8, Hồ Chí Minh",1
99.4,4.0,,Đông - Bắc,Đông - Bắc,2.0,,2.0,Have certificate,Full,9.5,"Nam Từ Liêm, Hà Nội",1
33.0,,,Tây - Nam,,5.0,,,Have certificate,Basic,4.95,"Hà Đông, Hà Nội",0
100.0,,,,,,,,,,7.5,"Hà Đông, Hà Nội",1
34.0,,2.0,,,4.0,3.0,,,Full,2.9,"Hà Đông, Hà Nội",0
100.0,20.0,12.0,Bắc,Bắc,3.0,4.0,5.0,Have certificate,Basic,6.5,"Quận 9, Hồ Chí Minh",1
60.0,8.0,15.0,,,4.0,5.0,5.0,Have certificate,,4.5,"Phủ Lý, Hà Nam",1
85.0,,,,,4.0,4.0,6.0,Have certificate,,4.2,"Phú Mỹ, Bà Rịa Vũng Tàu",1
74.02,5.3,5.0,,,3.0,,,Have certificate,Full,2.38,"Tân Bình, Hồ Chí Minh giá 2tỷ380",0
62.5,5.0,,,,5.0,,,Have certificate,,7.5,"Văn Giang, Hưng Yên",1
87.0,5.0,33.0,Đông - Nam,Tây - Bắc,5.0,5.0,5.0,Have certificate,,10.0,"Thường Tín, Hà Nội",1
56.0,5.0,5.0,Bắc,,,,,,,2.7,"Bình Chánh, Hồ Chí Minh",0
90.0,,,Bắc,,,3.0,,,,5.5,"Bến Lức, Long An",1
58.0,,,,,,,,Sale contract,Basic,4.61,"Quận 8, Hồ Chí Minh",1
35.0,5.0,2.0,,,5.0,5.0,4.0,Have certificate,Full,6.85,"Cầu Giấy, Hà Nội",0
50.4,,5.0,,,3.0,4.0,4.0,Have certificate,Basic,3.75,"Gò Vấp, Hồ Chí Minh",0
54.0,,5.0,,,3.0,4.0,4.0,Have certificate,Full,4.3,"Tân Bình, Hồ Chí Minh",0
57.4,,,,,3.0,3.0,2.0,Have certificate,Basic,4.05,"Phú Nhuận, Hồ Chí Minh",0
56.0,3.82,2.5,Đông - Nam,,5.0,6.0,5.0,Have certificate,Full,6.5,"Long Biên, Hà Nội",0
151.0,4.0,6.0,Tây,Tây,2.0,4.0,3.0,Have certificate,Full,3.2,"Cần Giuộc, Long An",0
51.75,4.5,6.0,Tây - Nam,Tây - Nam,4.0,4.0,5.0,Have certificate,,9.2,"Bình Thạnh, Hồ Chí Minh",0
27.0,4.0,10.0,,,5.0,4.0,5.0,Have certificate,Full,7.65,"Long Biên, Hà Nội",0
115.0,,,,,,,,,Full,9.55,"Quận 9, Hồ Chí Minh",1
81.0,,18.5,,,5.0,,,,,9.9,"Thường Tín, Hà Nội",1
102.8,7.0,18.0,Đông - Nam,,2.0,4.0,4.0,,,5.6,"Tân Uyên, Bình Dương",1
48.0,,,,,,,,Have certificate,,5.8,"Huyện Văn Giang, Hưng Yên",1
55.0,4.5,5.0,,,,,,,,6.8,"Tân Bình, Hồ Chí Minh",0
56.25,4.5,5.0,,,3.0,4.0,3.0,Have certificate,Basic,4.29,"Bình Thạnh, Hồ Chí Minh",0
65.0,,,,,2.0,3.0,3.0,,,4.0,"Thủ Đức, Hồ Chí Minh",0
80.0,8.0,8.0,Nam,Nam,5.0,5.0,6.0,,,6.5,"Bình Tân, Hồ Chí Minh",0
60.0,4.0,,Tây - Nam,Đông - Bắc,,,,Sale contract,,7.0,"Văn Giang, Hưng Yên",1
33.0,3.0,2.0,Tây - Bắc,Tây - Bắc,5.0,3.0,4.0,Have certificate,Full,4.48,"Hoàng Mai, Hà Nội",0
38.0,4.2,6.0,Đông - Bắc,Đông - Bắc,4.0,3.0,4.0,Have certificate,Full,6.78,"Phú Nhuận, Hồ Chí Minh",0
150.0,5.0,38.0,Tây,Tây,,,,Sale contract,,4.9,"Rạch Giá, Kiên Giang",1
42.0,,,,,3.0,2.0,,Have certificate,,6.5,"Quận 6, Hồ Chí Minh",1
60.0,,,,,,,,,,7.0,"Văn Giang, Hưng Yên",1
30.0,3.4,3.0,,,6.0,4.0,5.0,,Full,5.65,"Đống Đa, Hà Nội",0
78.0,6.0,13.0,Tây - Bắc,,5.0,,,,,9.8,"Văn Giang, Hưng Yên",1
43.5,,2.0,Tây - Nam,Tây - Nam,4.0,3.0,4.0,Have certificate,Basic,6.2,"Quận 3, Hồ Chí Minh",0
23.9,3.5,,,,2.0,2.0,2.0,,,4.2,"Quận 10, Hồ Chí Minh",0
78.7,4.0,,Đông - Nam,,,,,Have certificate,,5.5,"Bình Tân, Hồ Chí Minh",0
67.5,,,,,,,,,,2.18,"Tân Uyên, Bình Dương",0
72.0,4.0,5.0,,,2.0,4.0,4.0,Have certificate,Full,6.7,"Tân Phú, Hồ Chí Minh",0
60.0,,3.0,,,4.0,4.0,3.0,Have certificate,Basic,2.65,"Chương Mỹ, Hà Nội",0
200.0,,,,,2.0,3.0,3.0,,,10.0,"Quận 12, Hồ Chí Minh",1
36.0,4.0,3.0,,,5.0,4.0,4.0,Have certificate,Basic,6.0,"Hai Bà Trưng, Hà Nội",0
100.0,,20.0,Nam,Nam,3.0,4.0,4.0,Have certificate,Full,8.49,"Quận 9, Hồ Chí Minh",1
120.0,6.0,30.0,,,4.0,,,Have certificate,,5.85,"Buôn Ma Thuột, Đắk Lắk",1
78.0,,,,,3.0,3.0,3.0,Have certificate,Full,5.8,"Thanh Trì, Hà Nội",0
132.0,4.0,8.0,,,2.0,3.0,2.0,,,7.0,"Quận 7, Hồ Chí Minh",0
102.0,,3.0,,,1.0,2.0,1.0,Have certificate,,6.8,"Quận 7, Hồ Chí Minh",0
101.0,7.1,2.5,,,3.0,4.0,3.0,Have certificate,,6.6,"Quận 7, Hồ Chí Minh",0
81.0,8.0,8.0,Bắc,Bắc,1.0,1.0,1.0,,,5.8,"Gò Vấp, Hồ Chí Minh",0
35.0,,,,,5.0,4.0,3.0,Have certificate,,3.5,"Hà Đông, Hà Nội",0
75.0,5.0,24.0,,,3.0,3.0,3.0,Have certificate,Full,7.7,"Quận 9, Hồ Chí Minh",1
